1230000001	2	3	4	5	6	7	0
1700000001	西游记	古典文学	人民出版社	施耐庵	E1987	E1987	0
1700000002	劳动教育	文化教体	理工大出版社	朱老师	20231228	G5023	0
1700000003	学生手册	文化教体	理工大出版社	本书编写组	20231228	G5033	0
1700000004	红楼梦	古典文学	西安出版社	曹雪芹等	19890819	G1989	0
1700001997	三国志	古典文学	人民出版社	佚名	19870523	G1687	0
1800000001	新视野英语	语言文字	理工大出版社	佚名	20220122	H5081	0
1800000002	新视野英语	语言文字	理工大出版社	佚名	20220122	H5802	0
1800000003	中国近现代史纲要	历史地理	理工大出版社	佚名	20210202	K5161	0
1800000004	思想道德与法治	社科总论	高等教育出版社	本书编写组	20230101	C5162	0
1800000005	高等数学（上）	数理科学	人民教育出版社	王老师	20081201	O0105	0
1800000006	高等数学（上）	数理科学	高等教育出版社	王老师	20210121	O0121	1
1800000007	高等数学（上）	数理科学	高等教育出版社	王老师	20210121	O0122	0
1800000008	高等数学（下）	数理科学	高等教育出版社	王老师	20210121	O0123	0
1800000009	高等数学（下）	数理科学	高等教育出版社	王军锋	20210121	O0124	0
1800000010	C语言程序设计	数理科学	人民教育出版社	鲁大师	20100102	O8701	0
1900000001	算法与数据结构	数理科学	人民教育出版社	鲁大师	20100102	O0102	0
1900000002	编译原理	数理科学	人民教育出版社	鲁大师	20100102	O6543	0
1900000003	计算机系统结构	数理科学	人民教育出版社	鲁大师	20100403	O0976	0
1900000004	计算机网络	数理科学	人民教育出版社	鲁大师	20081205	O1205	0
1900000005	线性代数	数理科学	西安出版社	郭老师	20180912	O1098	1
1900000006	概率论与数理统计	数理科学	西安出版社	佚名	20180101	O1209	0
1900000007	西游记	古典文学	西安出版社	吴承恩	19860912	C1986	1
1900000008	水浒传	古典文学	西安出版社	施耐庵	19880912	C1988	0
